active,area,configid,lat,long,meter number,sub area,zone
1,Route 16,14511,39.973606,-83.00656,K91,GOODALE ST W,"Columbus, OH Default Zone"
1,Route 16,13225,39.97625,-83.00506,K397,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,13225,39.976307,-83.00507,K399,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,13225,39.9745,-83.00472,K321,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,13225,39.97673,-83.00516,K413,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,984,39.976013,-83.00481,K396,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,984,39.97634,-83.00488,K404,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,984,39.976624,-83.00494,K422,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,13225,39.975986,-83.005005,K389,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,984,39.97626,-83.00485,K398,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,979,39.974487,-83.003296,K151,POPLAR AVE W,"Columbus, OH Default Zone"
1,Route 16,984,39.976315,-83.004875,K402,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,14511,39.973743,-83.00637,K40,GOODALE ST W,"Columbus, OH Default Zone"
1,Route 16,14511,39.97358,-83.00583,K51,GOODALE ST W,"Columbus, OH Default Zone"
1,Route 16,14511,39.973766,-83.00694,K54,GOODALE ST W,"Columbus, OH Default Zone"
1,Route 16,979,39.975094,-83.004654,K334,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,13225,39.974735,-83.00477,K327,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,984,39.976368,-83.00488,K406,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,13225,39.976112,-83.00504,K393,PARK ST N,"Columbus, OH Default Zone"
1,Route 16,984,39.97553,-83.00472,K370,PARK ST N,"Columbus, OH Default Zone"
0,Route 29,979,39.971706,-83.00262,NK601,HIGH ST N.,"Columbus, OH Default Zone"
1,Route 29,979,39.969505,-83.0022,NK511,HIGH ST N.,"Columbus, OH Default Zone"
1,Route 29,979,39.969624,-83.00223,NK515,HIGH ST N.,"Columbus, OH Default Zone"
1,Route 29,987,39.967937,-83.001915,NK265,High St N,"Columbus, OH Default Zone"
1,Route 29,979,39.97145,-83.0023,NK574,High St N,"Columbus, OH Default Zone"
1,Route 29,987,39.961643,-83.000656,SK13,High St S,"Columbus, OH Default Zone"
0,Route 29,987,39.95779,-82.9999,SK105,High St S,"Columbus, OH Default Zone"
1,Route 29,987,39.961178,-82.998795,SK112,High St S,"Columbus, OH Default Zone"
1,Route 08,982,39.96196,-82.99517,SP52,YOUNG ST S,"Columbus, OH Default Zone"
0,Route 01,982,39.964764,-83.00027,NL157,Pearl St N,"Columbus, OH Default Zone"
1,Route 08,982,39.960064,-82.98848,EI517,TOWN ST E,"Columbus, OH Default Zone"
1,Route 02,1675,39.96093,-82.99601,SO71,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 02,979,39.963684,-82.99964,EP31,GAY ST E,"Columbus, OH Default Zone"
1,Route 02,1675,39.96102,-82.99583,SO108,FOURTH ST S,"Columbus, OH Default Zone"
